model,head,seed,acc,mprec,mrec,mf1,wf1,uar,delta_mf1,delta_uar,eta_mf1,eta_uar,pli_mf1,pli_uar
ecapa-tdnn,linear,,0.8084±0.0012,0.7187±0.0323,0.6782±0.0006,0.6821±0.0113,0.8063±0.0034,0.6782±0.0006,,,,,,
ecapa-tdnn,mlp,,0.8690±0.0065,0.7482±0.0227,0.7054±0.0182,0.7022±0.0170,0.8553±0.0111,0.7054±0.0182,,,,,,
ecapa-tdnn,pli_derived,,,,,,,,0.0201±0.0250,0.0272±0.0178,0.9720±0.0346,0.9619±0.0244,0.6632±0.0330,0.6523±0.0161
hubert-zh-b,linear,,0.8931±0.0038,0.8453±0.0038,0.8339±0.0032,0.8342±0.0049,0.8941±0.0035,0.8339±0.0032,,,,,,
hubert-zh-b,mlp,,0.9031±0.0254,0.8734±0.0276,0.8634±0.0253,0.8615±0.0316,0.9067±0.0224,0.8634±0.0253,,,,,,
hubert-zh-b,pli_derived,,,,,,,,0.0273±0.0279,0.0296±0.0233,0.9693±0.0312,0.9664±0.0260,0.8063±0.0201,0.8058±0.0202
