accent,data2vec-audio-b,ecapa-tdnn,hubert-en-b,hubert-zh-b,rawnet3,resnet-voxceleb,unispeech-sat-b,w2v2-en-b,w2v2-zh-b,wavlm-b,whisper-base,xvect-voxceleb
东北,0.9869615501509025,0.3067833166282346,0.7631611395969881,0.7319024170598835,0.2917295887491847,0.30712781052650934,0.7173414938989637,0.9795989152358975,0.9967569462033037,0.5782586494651762,0.9884593849984025,0.9532579878207628
东南,0.9965210771583798,0.5889087243499264,0.8857781054706252,0.8937691644835086,0.6692707898073057,0.4417620463289172,0.8821644388825768,0.9866996450905252,0.9978289053879401,0.8040289697512149,0.9861085093054959,0.9721596063372359
北京,0.995403196339346,0.4469941515469403,0.876433864012242,0.8925552753408469,0.5065328646192381,0.3758487717806419,0.8815986305691428,0.9891169185228322,0.9973719271321402,0.7971046302348234,0.9880621380022306,0.9566828355458603
西南,0.9588400002987604,0.5216101870329104,0.7273408674222792,0.7533224277334025,0.3001170355827039,0.5735445889461009,0.7328067214895533,0.960913428981973,0.9927423590782509,0.6236200245766025,0.9916582621308108,0.9423920503083466
闽南,0.9940768873728839,0.2466133932700714,0.9179103344687425,0.8862330863681073,0.49918293303994044,0.18057175291164307,0.9324818693835736,0.9959902461574961,0.9965168854692048,0.9034029944442128,0.9827477710883724,0.9351086588682324
广东,0.9214905616946182,0.41677493985784786,0.6808889026544712,0.710842664191107,0.18785055561154093,0.40313815484980076,0.6789820906770544,0.9409105825913461,0.9906155468286953,0.574770984354861,0.9896490476120064,0.940064953155812
河南,0.9600855394613546,0.4559912738358555,0.6975859080553769,0.7002027435660005,0.24505300464463767,0.5170881443088232,0.6999136071610852,0.9592436589516983,0.9887643801023054,0.5653320128502599,0.9913085355274347,0.9438103472134062
山西,0.9766062415945467,0.5814718887454675,0.6894716085612232,0.6954391474421131,0.32296194093831093,0.5626896464836676,0.7054079747249108,0.9710735095409124,0.9920207092075812,0.5589079079796545,0.992835691236969,0.9493230723341981
