true/pred,Mandarin,东北,东南,北京,西南,广东,河南
Mandarin,0.997979,0.000000,0.001011,0.000505,0.000505,0.000000,0.000000
东北,0.004132,0.264463,0.115702,0.520661,0.020661,0.070248,0.004132
东南,0.000000,0.014286,0.871429,0.085714,0.007143,0.021429,0.000000
北京,0.003584,0.071685,0.405018,0.430108,0.035842,0.039427,0.014337
西南,0.005420,0.000000,0.022584,0.016260,0.588076,0.175248,0.192412
广东,0.002283,0.004566,0.034247,0.031963,0.214612,0.641553,0.070776
河南,0.000000,0.003115,0.010125,0.025701,0.200935,0.158879,0.601246
