true/pred,Mandarin,东北,东南,北京,西南,广东,河南
Mandarin,1901,0,46,1,18,7,6
东北,0,44,49,100,12,26,11
东南,4,3,231,18,3,13,8
北京,12,18,102,99,14,17,17
西南,60,2,65,12,600,191,177
广东,21,8,15,11,102,188,93
河南,21,3,51,41,315,250,603
