true/pred,Mandarin,东北,东南,北京,西南,广东,河南
Mandarin,0.960586,0.000000,0.023244,0.000505,0.009096,0.003537,0.003032
东北,0.000000,0.181818,0.202479,0.413223,0.049587,0.107438,0.045455
东南,0.014286,0.010714,0.825000,0.064286,0.010714,0.046429,0.028571
北京,0.043011,0.064516,0.365591,0.354839,0.050179,0.060932,0.060932
西南,0.054201,0.001807,0.058717,0.010840,0.542005,0.172538,0.159892
广东,0.047945,0.018265,0.034247,0.025114,0.232877,0.429224,0.212329
河南,0.016355,0.002336,0.039720,0.031931,0.245327,0.194704,0.469626
